mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.8201217651367188,0.017383556043190133,0.046346584955851235,0.006805152097559635,0.5,30,"{'learning_rate': 0.5, 'n_estimators': 30}",0.7675568743818002,0.7634025717111771,0.7506925207756233,0.7605513057240834,0.007173894896216018,12,0.7573449401523396,0.7647640716193491,0.7640949554896143,0.762067989087101,0.003350852879380721
1.0459400018056233,0.015469065388869614,0.051602681477864586,0.00016212514023296564,0.5,40,"{'learning_rate': 0.5, 'n_estimators': 40}",0.7748763600395648,0.769139465875371,0.757222002374357,0.76707992614086,0.007352918187296731,10,0.7641705411019883,0.7727767336037195,0.772700296735905,0.7698825238138709,0.0040391022537460426
1.2669824759165447,0.009184588130838445,0.06192262967427572,0.0001479727880206486,0.5,50,"{'learning_rate': 0.5, 'n_estimators': 50}",0.7768545994065282,0.7689416419386745,0.7673130193905817,0.7710366657873912,0.004167481728125578,8,0.7681274112177268,0.7722821248392522,0.781998021760633,0.7741358526058706,0.00581238271180847
1.523075262705485,0.01986446709951881,0.07169477144877116,0.00026641220567708083,0.5,60,"{'learning_rate': 0.5, 'n_estimators': 60}",0.7855588526211672,0.7762611275964392,0.7661258409180847,0.7759825903455553,0.007935807670063284,5,0.7781185082599663,0.781679691364131,0.7821958456973294,0.7806646817738089,0.0018127058036473019
0.7792790730794271,0.0037573813236947366,0.04241204261779785,0.0023815724673452985,0.6,30,"{'learning_rate': 0.6, 'n_estimators': 30}",0.7770524233432246,0.7681503461918893,0.7546497823506134,0.7666183065154313,0.009209631764679826,11,0.7655554456424968,0.7727767336037195,0.7690405539070228,0.769124244384413,0.0029486723596368193
1.0228296915690105,0.003592670325051951,0.05133883158365885,0.0007243406078569927,0.6,40,"{'learning_rate': 0.6, 'n_estimators': 40}",0.7863501483679525,0.7671612265084076,0.7663237039968341,0.7732788182537589,0.00924960484650612,7,0.7796023345533682,0.7766346819665645,0.7829871414441147,0.7797413859880159,0.0025952439615044122
1.269550879796346,0.014672444797586377,0.06266578038533528,0.002008065771654358,0.6,50,"{'learning_rate': 0.6, 'n_estimators': 50}",0.7920870425321463,0.7760633036597429,0.7704788286505738,0.7795436560274334,0.009158253650492878,2,0.7818775348699178,0.7851419527154021,0.7868447082096933,0.7846213985983378,0.0020609763363413545
1.5122795899709065,0.017879972516224446,0.07208029429117839,0.00034402373580889233,0.6,60,"{'learning_rate': 0.6, 'n_estimators': 60}",0.7869436201780415,0.7780415430267063,0.7690937870993273,0.7780269058295964,0.007287051014611161,4,0.7822732218814917,0.7902858838658621,0.790108803165183,0.7875559696375123,0.0037361662421920437
0.7750084400177002,0.0035657258156664077,0.04120135307312012,0.00043259446470951394,0.7,30,"{'learning_rate': 0.7, 'n_estimators': 30}",0.7835806132542038,0.7606330365974283,0.7643450732093391,0.7695199155895542,0.010057725796873015,9,0.7718864378276783,0.7691166287466614,0.7769535113748763,0.7726521926497387,0.0032448901026830607
1.0853493213653564,0.047089917161061014,0.05256938934326172,0.001243136618162923,0.7,40,"{'learning_rate': 0.7, 'n_estimators': 40}",0.7875370919881306,0.7683481701285856,0.7714681440443213,0.7757847533632287,0.00840760859878351,6,0.7764368384607775,0.7748540904144822,0.7881305637982196,0.779807164224493,0.005920895663802089
1.2787206967671711,0.022632406715984443,0.06350429852803548,0.0021775801511146596,0.7,50,"{'learning_rate': 0.7, 'n_estimators': 50}",0.7887240356083086,0.7758654797230465,0.7720617332805698,0.7788841994196782,0.007129327597617193,3,0.780195865070729,0.7818775348699178,0.7893175074183977,0.7837969691196816,0.00396352205822632
1.5023422241210938,0.001970680029720709,0.07162634531656902,0.0001399748328352796,0.7,60,"{'learning_rate': 0.7, 'n_estimators': 60}",0.7899109792284866,0.7786350148367952,0.7744360902255639,0.7809944605644948,0.0065341015162373875,1,0.785339796221189,0.7862300919972302,0.7921859545004946,0.7879186142396378,0.0030392763742548234
